token	corpus size	all contexts size	frequency	co-frequency	specificity
актуальны	74279	12603	2	2	1.54
полезны	74279	12603	2	2	1.54
веских	74279	12603	2	2	1.54
соревноваться	74279	12603	2	2	1.54
соревнуйтесь	74279	12603	2	2	1.54
загруженном	74279	12603	2	2	1.54
графике	74279	12603	2	2	1.54
ищете	74279	12603	2	2	1.54
классе	74279	12603	2	2	1.54
сочетания	74279	12603	2	2	1.54
восточных	74279	12603	2	2	1.54
литературный	74279	12603	2	2	1.54
Ключевую	74279	12603	2	2	1.54
1836–1917	74279	12603	2	2	1.54
прозванный	74279	12603	2	2	1.54
превращение	74279	12603	2	2	1.54
оттеснение	74279	12603	2	2	1.54
использовавшегося	74279	12603	2	2	1.54
обиходе	74279	12603	2	2	1.54
неевреев	74279	12603	2	2	1.54
Немало	74279	12603	2	2	1.54
учреждениях	74279	12603	2	2	1.54
немногочисленные	74279	12603	2	2	1.54
энтузиасты	74279	12603	2	2	1.54
Реформы	74279	12603	2	2	1.54
Несомненно	74279	12603	2	2	1.54
необходим	74279	12603	2	2	1.54
придумал	74279	12603	2	2	1.54
доходчиво	74279	12603	2	2	1.54
жестов	74279	12603	2	2	1.54
зря	74279	12603	2	2	1.54
Бесспорно	74279	12603	2	2	1.54
беречь	74279	12603	2	2	1.54
художественных	74279	12603	2	2	1.54
произведениях	74279	12603	2	2	1.54
применению	74279	12603	2	2	1.54
эстетического	74279	12603	2	2	1.54
наслаждения	74279	12603	2	2	1.54
отмирают	74279	12603	2	2	1.54
уходят	74279	12603	2	2	1.54
обихода	74279	12603	2	2	1.54
взамен	74279	12603	2	2	1.54
приходят	74279	12603	2	2	1.54
требованиям	74279	12603	2	2	1.54
ракеты	74279	12603	2	2	1.54
удивительное	74279	12603	2	2	1.54
мудрое	74279	12603	2	2	1.54
создало	74279	12603	2	2	1.54
Говорить	74279	12603	2	2	1.54
Земле	74279	12603	2	2	1.54
поговорки	74279	12603	2	2	1.54
колокол	74279	12603	2	2	1.54
доброго	74279	12603	2	2	1.54
усохнет	74279	12603	2	2	1.54
Каков	74279	12603	2	2	1.54
таковы	74279	12603	2	2	1.54
кружева	74279	12603	2	2	1.54
плетет	74279	12603	2	2	1.54
расскажут	74279	12603	2	2	1.54
курильщикам	74279	12603	2	2	1.54
обладателям	74279	12603	2	2	1.54
называемого	74279	12603	2	2	1.54
рассказывает	74279	12603	2	2	1.54
Знать	74279	12603	2	2	1.54
взрослым	74279	12603	2	2	1.54
размножаться	74279	12603	2	2	1.54
нездорового	74279	12603	2	2	1.54
объяснит	74279	12603	2	2	1.54
приятнее	74279	12603	2	2	1.54
дешевле	74279	12603	2	2	1.54
подробно	74279	12603	2	2	1.54
полезной	74279	12603	2	2	1.54
привычкой	74279	12603	2	2	1.54
Ирригатор	74279	12603	2	2	1.54
комплектации	74279	12603	2	2	1.54
устройством	74279	12603	2	2	1.54
лопатки	74279	12603	2	2	1.54
Шахматы	74279	12603	2	2	1.54
гармонии	74279	12603	2	2	1.54
поэзия	74279	12603	2	2	1.54
проза	74279	12603	2	2	1.54
розовым	74279	12603	2	2	1.54
узелками	74279	12603	2	2	1.54
бугорков	74279	12603	2	2	1.54
Зоны	74279	12603	2	2	1.54
вкусового	74279	12603	2	2	1.54
заполняет	74279	12603	2	2	1.54
Верхушка	74279	12603	2	2	1.54
Разберемся	74279	12603	2	2	1.54
подобных	74279	12603	2	2	1.54
зеленый	74279	12603	2	2	1.54
глосситу	74279	12603	2	2	1.54
Вообще	74279	12603	2	2	1.54
страшного	74279	12603	2	2	1.54
произойдет	74279	12603	2	2	1.54
условии	74279	12603	2	2	1.54
здоров	74279	12603	2	2	1.54
Польза	74279	12603	2	2	1.54
напоминать	74279	12603	2	2	1.54
осмотрит	74279	12603	2	2	1.54
причиняет	74279	12603	2	2	1.54
беспокоит	74279	12603	2	2	1.54
задумываемся	74279	12603	2	2	1.54
каждую	74279	12603	2	2	1.54
секунду	74279	12603	2	2	1.54
Неосведомленность	74279	12603	2	2	1.54
породила	74279	12603	2	2	1.54
заблуждений	74279	12603	2	2	1.54
сложные	74279	12603	2	2	1.54
перемещать	74279	12603	2	2	1.54
высовывать	74279	12603	2	2	1.54
скручивать	74279	12603	2	2	1.54
трубочку	74279	12603	2	2	1.54
Расслабленный	74279	12603	2	2	1.54
физиологического	74279	12603	2	2	1.54
тонуса	74279	12603	2	2	1.54
перекроет	74279	12603	2	2	1.54
Напряжённый	74279	12603	2	2	1.54
звено	74279	12603	2	2	1.54
расслабленным	74279	12603	2	2	1.54
жевать	74279	12603	2	2	1.54
проглатывать	74279	12603	2	2	1.54
увеличении	74279	12603	2	2	1.54
называемая	74279	12603	2	2	1.54
макроглоссия	74279	12603	2	2	1.54
массивный	74279	12603	2	2	1.54
ожирение	74279	12603	2	2	1.54
жировые	74279	12603	2	2	1.54
снижением	74279	12603	2	2	1.54
худеет	74279	12603	2	2	1.54
Плоский	74279	12603	2	2	1.54
уверены	74279	12603	2	2	1.54
мышечная	74279	12603	2	2	1.54
распластаться	74279	12603	2	2	1.54
твёрдому	74279	12603	2	2	1.54
располагаясь	74279	12603	2	2	1.54
горкой	74279	12603	2	2	1.54
челюстью	74279	12603	2	2	1.54
совершает	74279	12603	2	2	1.54
точные	74279	12603	2	2	1.54
Самоназвание	74279	12603	2	2	1.54
154	74279	12603	2	2	1.54
110	74279	12603	2	2	1.54
Классификация	74279	12603	2	2	1.54
Ру́сский	74279	12603	2	2	1.54
язы́к	74279	12603	2	2	1.54
подгруппы	74279	12603	2	2	1.54
славянской	74279	12603	2	2	1.54
крупнейший	74279	12603	2	2	1.54
рабочего	74279	12603	2	2	1.54
бывшего	74279	12603	2	2	1.54
Советского	74279	12603	2	2	1.54
синтетическим	74279	12603	2	2	1.54
флективным	74279	12603	2	2	1.54
словоизменение	74279	12603	2	2	1.54
славянскими	74279	12603	2	2	1.54
общему	74279	12603	2	2	1.54
языку-предку	74279	12603	2	2	1.54
праславянскому	74279	12603	2	2	1.54
Праславянский	74279	12603	2	2	1.54
сравнительно-исторического	74279	12603	2	2	1.54
метода	74279	12603	2	2	1.54
язык-предок	74279	12603	2	2	1.54
прабалтославянский	74279	12603	2	2	1.54
Мейе	74279	12603	2	2	1.54
Бодуэн	74279	12603	2	2	1.54
письменным	74279	12603	2	2	1.54
славян	74279	12603	2	2	1.54
старославянский	74279	12603	2	2	1.54
осуществлены	74279	12603	2	2	1.54
переводы	74279	12603	2	2	1.54
христианской	74279	12603	2	2	1.54
болгарским	74279	12603	2	2	1.54
находящимися	74279	12603	2	2	1.54
подгруппах	74279	12603	2	2	1.54
единые	74279	12603	2	2	1.54
литературные	74279	12603	2	2	1.54
прекращает	74279	12603	2	2	1.54
дробиться	74279	12603	2	2	1.54
реализацию	74279	12603	2	2	1.54
фонемы	74279	12603	2	2	1.54
среднерусские	74279	12603	2	2	1.54
говоры	74279	12603	2	2	1.54
сочетает	74279	12603	2	2	1.54
севера	74279	12603	2	2	1.54
юга	74279	12603	2	2	1.54
городском	74279	12603	2	2	1.54
выступил	74279	12603	2	2	1.54
языком-лексификатором	74279	12603	2	2	1.54
пиджинов	74279	12603	2	2	1.54
Клобуков	74279	12603	2	2	1.54
768	74279	12603	2	2	1.54
Восточнославянские	74279	12603	2	2	1.54
444—513	74279	12603	2	2	1.54
87444	74279	12603	2	2	1.54
710	74279	12603	2	2	1.54
1894	74279	12603	2	2	1.54
БСЭ	74279	12603	2	2	1.54
Дорофеев	74279	12603	2	2	1.54
субъектах	74279	12603	2	2	1.54
осматривает	74279	12603	2	2	1.54
Вид	74279	12603	2	2	1.54
учитывается	74279	12603	2	2	1.54
постановке	74279	12603	2	2	1.54
Характерные	74279	12603	2	2	1.54
белесый	74279	12603	2	2	1.54
серыми	74279	12603	2	2	1.54
красно-малиновым	74279	12603	2	2	1.54
сходна	74279	12603	2	2	1.54
ангиной	74279	12603	2	2	1.54
Четкие	74279	12603	2	2	1.54
критерии	74279	12603	2	2	1.54
малиновый	74279	12603	2	2	1.54
телу	74279	12603	2	2	1.54
редкое	74279	12603	2	2	1.54
синего	74279	12603	2	2	1.54
белые	74279	12603	2	2	1.54
счищается	74279	12603	2	2	1.54
прочая	74279	12603	2	2	1.54
покое	74279	12603	2	2	1.54
сознательного	74279	12603	2	2	1.54
воздействия	74279	12603	2	2	1.54
Имеется	74279	12603	2	2	1.54
учение	74279	12603	2	2	1.54
Французская	74279	12603	2	2	1.54
социологическая	74279	12603	2	2	1.54
функционирует	74279	12603	2	2	1.54
собств	74279	12603	2	2	1.54
законам	74279	12603	2	2	1.54
попытки	74279	12603	2	2	1.54
Внеязыковые	74279	12603	2	2	1.54
опосредствованно	74279	12603	2	2	1.54
Поливанов	74279	12603	2	2	1.54
неоднородностью	74279	12603	2	2	1.54
такова	74279	12603	2	2	1.54
Различают	74279	12603	2	2	1.54
спонтанное	74279	12603	2	2	1.54
сознательное	74279	12603	2	2	1.54
целенаправленное	74279	12603	2	2	1.54
