item	total	count part-1	specif part-1	count part-2	specif part-2
требуется	13	5	0.79	8	-0.79
японский	13	6	1.08	7	-1.08
истории	13	3	0.63	10	0.63
тому	13	4	0.64	9	-0.64
слишком	13	4	0.64	9	-0.64
исследований	13	3	0.63	10	0.63
сейчас	13	4	0.64	9	-0.64
Благодаря	13	5	0.79	8	-0.79
людям	13	5	0.79	8	-0.79
кишечника	13	3	0.63	10	0.63
десен	13	3	0.63	10	0.63
стороны	13	4	0.64	9	-0.64
форм	13	4	0.64	9	-0.64
Эстетическая	13	1	-1.15	12	1.15
функций	13	6	1.08	7	-1.08
еды	13	2	-0.79	11	0.79
записи	13	1	-1.15	12	1.15
Ю	13	4	0.64	9	-0.64
социальных	13	4	0.64	9	-0.64
анализ	13	2	-0.79	11	0.79
Другие	13	1	-1.15	12	1.15
наличие	13	4	0.64	9	-0.64
предложения	13	2	-0.79	11	0.79
Подготовка	13	1	-1.15	12	1.15
правила	13	3	0.63	10	0.63
странице	13	4	0.64	9	-0.64
момент	13	4	0.64	9	-0.64
ошибки	13	2	-0.79	11	0.79
препараты	13	1	-1.15	12	1.15
налёта	13	6	1.08	7	-1.08
января	13	0	-1.86	13	1.86
стр	13	0	-1.86	13	1.86
Детская	13	0	-1.86	13	1.86
Вакансии	13	0	-1.86	13	1.86
Культура	13	0	-1.86	13	1.86
Цены	13	0	-1.86	13	1.86
Отбеливание	13	0	-1.86	13	1.86
Поля	13	0	-1.86	13	1.86
ошибок	13	0	-1.86	13	1.86
наук	12	3	0.60	9	0.60
такая	12	3	0.60	9	0.60
практике	12	4	0.66	8	-0.66
носителем	12	6	1.20	6	-1.20
национального	12	5	0.86	7	-0.86
развитии	12	4	0.66	8	-0.66
благодаря	12	3	0.60	9	0.60
изучают	12	5	0.86	7	-0.86
глобализации	12	3	0.60	9	0.60
многоязычия	12	3	0.60	9	0.60
осуществляется	12	5	0.86	7	-0.86
26	12	2	-0.71	10	0.71
распространенных	12	6	1.20	6	-1.20
цель	12	4	0.66	8	-0.66
иностранном	12	6	1.20	6	-1.20
Германии	12	2	-0.71	10	0.71
Президент	12	2	-0.71	10	0.71
организм	12	3	0.60	9	0.60
общей	12	4	0.66	8	-0.66
знание	12	5	0.86	7	-0.86
коммуникативная	12	6	1.20	6	-1.20
ним	12	4	0.66	8	-0.66
Вам	12	2	-0.71	10	0.71
ещё	12	5	0.86	7	-0.86
одно	12	4	0.66	8	-0.66
Хотя	12	5	0.86	7	-0.86
относится	12	5	0.86	7	-0.86
самый	12	4	0.66	8	-0.66
способ	12	5	0.86	7	-0.86
любом	12	6	1.20	6	-1.20
человеческого	12	5	0.86	7	-0.86
сосочков	12	4	0.66	8	-0.66
норме	12	5	0.86	7	-0.86
Из-за	12	6	1.20	6	-1.20
состояния	12	3	0.60	9	0.60
протезы	12	1	-1.05	11	1.05
симптомов	12	2	-0.71	10	0.71
Чтобы	12	4	0.66	8	-0.66
своим	12	4	0.66	8	-0.66
сегодня	12	4	0.66	8	-0.66
сожалению	12	4	0.66	8	-0.66
поражения	12	5	0.86	7	-0.86
название	12	4	0.66	8	-0.66
Некоторые	12	4	0.66	8	-0.66
острой	12	4	0.66	8	-0.66
проходят	12	5	0.86	7	-0.86
Родной	12	6	1.20	6	-1.20
Образование	12	1	-1.05	11	1.05
впервые	12	5	0.86	7	-0.86
хорошо	12	4	0.66	8	-0.66
лечить	12	4	0.66	8	-0.66
возникать	12	4	0.66	8	-0.66
случаях	12	3	0.60	9	0.60
Заболевания	12	2	-0.71	10	0.71
грамматики	12	4	0.66	8	-0.66
произношение	12	3	0.60	9	0.60
Читайте	12	2	-0.71	10	0.71
будете	12	5	0.86	7	-0.86
множество	12	4	0.66	8	-0.66
найти	12	3	0.60	9	0.60
сложно	12	4	0.66	8	-0.66
выбрать	12	3	0.60	9	0.60
часов	12	3	0.60	9	0.60
диалекты	12	5	0.86	7	-0.86
свое	12	4	0.66	8	-0.66
этап	12	5	0.86	7	-0.86
виде	12	4	0.66	8	-0.66
оттенок	12	5	0.86	7	-0.86
Полезная	12	3	0.60	9	0.60
класса	12	4	0.66	8	-0.66
курсы	12	4	0.66	8	-0.66
розовый	12	5	0.86	7	-0.86
отдельных	12	4	0.66	8	-0.66
Официальные	12	4	0.66	8	-0.66
приеме	12	4	0.66	8	-0.66
код	12	4	0.66	8	-0.66
реализация	12	5	0.86	7	-0.86
выявить	12	5	0.86	7	-0.86
оно	12	3	0.60	9	0.60
Определение	12	5	0.86	7	-0.86
желтый	12	4	0.66	8	-0.66
Определитель	12	6	1.20	6	-1.20
Туркменистане	12	2	-0.71	10	0.71
диагностики	12	4	0.66	8	-0.66
04	12	0	-1.72	12	1.72
Закрыть	12	0	-1.72	12	1.72
ООО	12	0	-1.72	12	1.72
Заказать	12	0	-1.72	12	1.72
согласие	12	0	-1.72	12	1.72
Онлайн-переводчик	12	0	-1.72	12	1.72
любого	11	5	0.95	6	-0.95
культурный	11	4	0.69	7	-0.69
безусловно	11	5	0.95	6	-0.95
остается	11	3	0.58	8	0.58
числу	11	4	0.69	7	-0.69
помимо	11	5	0.95	6	-0.95
нашей	11	4	0.69	7	-0.69
системе	11	5	0.95	6	-0.95
возможности	11	4	0.69	7	-0.69
включает	11	4	0.69	7	-0.69
Германия	11	2	-0.65	9	0.65
итальянский	11	3	0.58	8	0.58
группе	11	5	0.95	6	-0.95
европейских	11	5	0.95	6	-0.95
документов	11	2	-0.65	9	0.65
32	11	2	-0.65	9	0.65
дома	11	4	0.69	7	-0.69
тех	11	3	0.58	8	0.58
ситуацию	11	4	0.69	7	-0.69
территории	11	4	0.69	7	-0.69
воздействие	11	3	0.58	8	0.58
взаимодействия	11	4	0.69	7	-0.69
общении	11	5	0.95	6	-0.95
внимания	11	3	0.58	8	0.58
познания	11	3	0.58	8	0.58
07	11	2	-0.65	9	0.65
славянских	11	5	0.95	6	-0.95
здесь	11	4	0.69	7	-0.69
поскольку	11	4	0.69	7	-0.69
70	11	3	0.58	8	0.58
втором	11	5	0.95	6	-0.95
чуть	11	5	0.95	6	-0.95
принадлежит	11	3	0.58	8	0.58
помощь	11	1	-0.94	10	0.94
бесплатно	11	3	0.58	8	0.58
чтение	11	4	0.69	7	-0.69
врачи	11	2	-0.65	9	0.65
каких	11	4	0.69	7	-0.69
Именно	11	4	0.69	7	-0.69
неприятный	11	3	0.58	8	0.58
рот	11	4	0.69	7	-0.69
выделяют	11	5	0.95	6	-0.95
Где	11	3	0.58	8	0.58
кариес	11	1	-0.94	10	0.94
память	11	4	0.69	7	-0.69
Обычно	11	3	0.58	8	0.58
Нужно	11	5	0.95	6	-0.95
специалистов	11	2	-0.65	9	0.65
сохранить	11	5	0.95	6	-0.95
Еще	11	3	0.58	8	0.58
Многие	11	3	0.58	8	0.58
нашу	11	4	0.69	7	-0.69
связь	11	3	0.58	8	0.58
блюда	11	5	0.95	6	-0.95
ему	11	3	0.58	8	0.58
свободно	11	5	0.95	6	-0.95
репетитора	11	3	0.58	8	0.58
трех	11	5	0.95	6	-0.95
ведь	11	4	0.69	7	-0.69
Вот	11	3	0.58	8	0.58
выше	11	4	0.69	7	-0.69
учиться	11	2	-0.65	9	0.65
быстрее	11	4	0.69	7	-0.69
разные	11	4	0.69	7	-0.69
Возможно	11	4	0.69	7	-0.69
мысль	11	2	-0.65	9	0.65
делает	11	4	0.69	7	-0.69
причин	11	5	0.95	6	-0.95
сильно	11	2	-0.65	9	0.65
приложений	11	5	0.95	6	-0.95
какие	11	3	0.58	8	0.58
компаний	11	4	0.69	7	-0.69
литературы	11	3	0.58	8	0.58
работе	11	4	0.69	7	-0.69
университет	11	2	-0.65	9	0.65
состоит	11	2	-0.65	9	0.65
стоматолога	11	1	-0.94	10	0.94
способствует	11	4	0.69	7	-0.69
неприятного	11	5	0.95	6	-0.95
использовании	11	5	0.95	6	-0.95
создания	11	4	0.69	7	-0.69
орган	11	1	-0.94	10	0.94
П	11	3	0.58	8	0.58
кому	11	4	0.69	7	-0.69
различные	11	4	0.69	7	-0.69
нормы	11	5	0.95	6	-0.95
анализы	11	2	-0.65	9	0.65
тела	11	4	0.69	7	-0.69
движения	11	5	0.95	6	-0.95
пути	11	2	-0.65	9	0.65
Страны	11	5	0.95	6	-0.95
Ф	11	2	-0.65	9	0.65
грамматика	11	3	0.58	8	0.58
Энциклопедия	11	3	0.58	8	0.58
симптомы	11	2	-0.65	9	0.65
кандидоз	11	3	0.58	8	0.58
социальные	11	5	0.95	6	-0.95
Общество	11	1	-0.94	10	0.94
реализуется	11	5	0.95	6	-0.95
оценить	11	5	0.95	6	-0.95
весь	11	3	0.58	8	0.58
кожи	11	3	0.58	8	0.58
варки	11	5	0.95	6	-0.95
Мне	11	3	0.58	8	0.58
работы	11	1	-0.94	10	0.94
Лайма	11	3	0.58	8	0.58
Вайкуле	11	2	-0.65	9	0.65
Авторы	11	2	-0.65	9	0.65
действия	11	3	0.58	8	0.58
лекарств	11	2	-0.65	9	0.65
препаратов	11	2	-0.65	9	0.65
терапия	11	1	-0.94	10	0.94
